再生,さいせい,reproduction
SKIP,ぼんやり,out of focus
詳しい,くわしい,knowledgeable
SKIP,ブーム,trend
流行,りゅうこう,trend
SKIP,マイブーム,obsession
慎重,しんちょう,careful
縮む,ちぢむ,to shrink
SKIP,ほぼ,almost
大体,だいたい,usually
SKIP,うっとり見る,to stare
SKIP,じりじり,blazing
SKIP,がさがさ,bug crawling
SKIP,くしゃくしゃ,crinkle
SKIP,がりがりにやせる,to become thin
SKIP,ぎりぎり,last minute
SKIP,おどおど,awkward
SKIP,さっさ,fast
SKIP,ぱったり,suddenly
請求書,せいきゅうしょ,bill
職業,しょくぎょう,occupation
技術,ぎじゅつ,skill
転職,てんしょく,change jobs
募集,ぼしゅう,recruit
一般,いっぱん,general public
優勝,ゆうしょう,victory
勝つ,かつ,to win
負ける,まける,to lose
反対,はんたい,opposite
電球,でんきゅう,lightbulb
流す,ながす,to flow
決して,けっして,never
決定,けってい,decision
投げる,なげる,to throw
経済,けいざい,economy
貿易,ぼうえき,trade
輸入出,ゆにゅうしゅつ,import/export
完成,かんせい,complete
成長,せいちょう,mature
易しい,やさしい,easy
経験,けいけん,experience
経営,けいえい,management
戦う,たたかう,to fight
相談,そうだん,advice
屡々,しばしば,often
比べる,くらべる,to compare
原料,げんりょう,material
材料,ざいりょう,ingredient
化粧,けしょう,makeup
否定,ひてい,negation
政府,せいふ,government
肯定,こうてい,positive
欠席,けっせき,absence
欠ける,かける,to lack
専門,せんもん,specialty
私的,してき,personal
改札口,かいさつぐち,ticket gate
改める,あらためる,to change
国際,こくさい,international
会議,かいぎ,conference
済ませる,すませる,to complete
実験,じっけん,experiment
個人的な,こじんてきな,personal
電波,でんぱ,radio wave
範囲,はんい,scope
距離,きょり,distance
SKIP,せめて,at least
利益,りえき,profit
叶う,かなう,to come true
苦労,くろう,hardship
夢,ゆめ,dream
末に,すえに,after
挙句,あげく,after all
面倒な,めんどうな,troublesome
拍手,はくしゅ,applause
SKIP,むしろ,rather
解消,かいしょう,relief
日記,にっき,diary
肌,はだ,skin
SKIP,さっと,light quick motion
石鹼,せっけん,soap
一部分,いちぶぶん,one portion
欠点,けってん,shortcoming
改正,かいせい,alteration
変化,へんか,change
多種多様な,たしゅたような,various
対応,たいおう,corresponding
風景,ふうけい,scenery
旅,たび,journey
着く,つく,to arrive
形,かたち,shape
異なり,ことなり,unlike
SKIP,どぎまぎ,stutter
SKIP,たっぷり,a lot
SKIP,うろうろ,wander
SKIP,がたがた,tremble
SKIP,じろじろ見る,to stare
SKIP,べたべた,sticky
SKIP,ぶらぶら,billow
SKIP,ぬめぬめ,sticky
伸び伸び,のびのび,stretch
伸ばす,のばす,to stretch
SKIP,ごちゃごちゃ,cluttered
SKIP,くよくよ,sadness
